Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
1	heilsu-	kt	ób-sk	heilsuáætlun	heilsu-
1	JÓALTILBOÐ	nhen	no-hk-et-nf	jólatilboð	jóaltilboð
1	VISA	n-eo-s	no-x-s	Visa	VISA
1	EURO	e	ób-e	Euro	EURO
1	Hringiðan	nvengs	no-kvk-et-nf-gr-s	Hringiða	Hringiðan
1	steypu-	kt	ób-sk	steypuviðgerð	steypu-
1	ALLT-VERK	nhen-s	no-hk-et-nf-s	Allt-Verk	ALLT-VERK
1	Cup-leiknum	nkeþgs	no-kk-et-þgf-gr-s	Cupleikur	Cup-leikur
1	BeeeRRR-rassaður	x	ób-x	berrassaður	BeeeRRR-rassaður
1	VALANCE	n----s	no-x-s	VALANCE	Valance
1	Harrodsútsöluna	nveogs	no-kvk-et-þf-gr-s	Harrodsútsala	Harrodsútsalan
1	Harrods-versluninni	nveþgs	no-kvk-et-þgf-gr-s	Harrodsverslun	Harrods-verslun
1	Ferðablaðið	nheogs	no-hk-et-þf-gr-s	ferðablað	Ferðablaðið
1	Brava-ströndinni	nveþgs	no-kvk-et-þgf-gr-s	Bravaströnd	Brava-strönd
1	Sagamedica-Heilsujurtir	nvfn-s	no-kvk-ft-nf-s	Sagamedica-Heilsujurtir	Sagamedica-Heilsujurt
1	náttúruvörur	nvfo	no-kvk-ft-þf	náttúruvörur	náttúruvara
1	Úrvals-Útsýnar	nveegs	no-kvk-et-ef-gr-s	Úrvals-Útsýn	Úrvals-Útsýnar
1	hundruð	tfkfþ	to	hundrað	hundruð
1	Corrs-systur	nvfo-s	no-kvk-ft-þf-s	Corrssystir	Corrs-systur
1	Grýla	nven-s	no-kvk-et-nf-s	grýla	Grýla
1	Íslandi	x	ób-x	Ísland	Íslandi
1	Ástrík	nkeo-s	no-kk-et-þf-s	ástríkur	Ástríkur
1	Dvalarheimilisins	nheegs	no-hk-et-ef-gr-s	Dvalarheimili	Dvalarheimilið
1	Ármannsbörn	nhfn-s	no-hk-ft-nf-s	Ármannsbarn	Ármannsbörn
1	87	ta	to	87.	87
1	móðins	lhensf	lo-hk-et-nf-sb-fst	móðins	móðinsur
1	Þær	fpven	fn-p-3p-kvk-et-nf	hún	þær
1	Hawaii-skyrtu	nveþ-s	no-kvk-et-þgf-s	Hawaiiskyrta	Hawaii-skyrta
1	bekkjarsystkinin	nhfog	no-hk-ft-þf-gr	bekkjarsystkin	bekkjarsystkini
1	Rambo-ímyndin	nveng	no-kvk-et-nf-gr	rambo-ímynd	Rambo-ímynd
1	glæpa-	kt	ób-sk	glæpamál	glæpa-
1	nauðgunar-	kt	ób-sk	nauðgunarmál	nauðgunar-
1	Háskólaútgáfunni	nveþgs	no-kvk-et-þgf-gr-s	háskólaútgáfa	Háskólaútgáfan
1	laga-	kt	ób-sk	lagaumhverfi	laga-
1	Neyðarmóttökunnar	nvee-s	no-kvk-et-ef-s	neyðarmóttaka	Neyðarmóttökunn
1	verst	lvense	lo-kvk-et-nf-sb-est	verri	slæmur
1	breytist	svg3en	so-vh-gm-3p-et-nt	breyta	breytist
1	náms-	kt	ób-sk	námsvandkvæði	náms-
1	aukist	svg3fn	so-vh-gm-3p-ft-nt	auka	aukist
1	skóla-	kt	ób-sk	skólastarf	skóla-
1	efnahags-	kt	ób-sk	efnahagslega	efnahags-
1	afbrota-	kt	ób-sk	afbrotafræði	afbrota-
1	HUGUM	nkfþ	no-kk-ft-þgf	hugi	hugur
1	viðskipta-	kt	ób-sk	viðskiptaglæpur	viðskipta-
1	líkað	x	ób-x	líka	líkað
1	skilning	x	ób-x	skilningur	skilning
1	tekizt	sþmhen	so-sagnb-mm	tekiza	tekizt
1	Auðlindabölið	nhengs	no-hk-et-nf-gr-s	auðlindaböl	Auðlindaböl
1	brezk	lvensf	lo-kvk-et-nf-sb-fst	breskur	brezkur
1	upplýsinga-	kt	ób-sk	upplýsingagildi	upplýsinga-
1	Ríkislögreglustjóra	nkeo-s	no-kk-et-þf-s	ríkislögreglustjóri	Ríkislögreglustjóri
1	hafizt	sþmhen	so-sagnb-mm	hefja	hafizt
1	áherzla	nven	no-kvk-et-nf	áherlsa	áherzla
1	gagnrýnanda	nkfe	no-kk-ft-ef	gagnrýnandi	gagnrýnandur
1	POPPLANDSVEF	nkeþ-s	no-kk-et-þgf-s	popplandsvefur	Popplandsvefur
1	segi	x	ób-x	segja	segi
1	JPV-forlagsins	nheegs	no-hk-et-ef-gr-s	JPV-forlag	JPV-forlagið
1	Vesturbænum	nkeþgs	no-kk-et-þgf-gr-s	vesturbær	Vesturbær
1	eitt	x	ób-x	einn	eitt
1	ættleitt	lheosf	lo-hk-et-þf-sb-fst	ættleiddur	ættleitur
1	lífi	x	ób-x	lifa	lífi
1	sögulegi	lheþsf	lo-hk-et-þgf-sb-fst	sögulegur	sögulegir
1	einmanna	lkenof	lo-ób	einmana	einmanna
1	daganna	x	ób-x	dagur	daganna
1	áhættu-	kt	ób-sk	áhættustýring	áhættu-
1	fóruði	x	ób-x	fara	fóruði
1	tuttugastaogsjöunda	lhenvf	lo-hk-et-nf-vb-fst	tuttugastaogsjöunda	tuttugastaogsjöundi
1	google-grín	nhen	no-hk-et-nf	googlegrín	google-grín
1	Reif	nhen-s	no-hk-et-nf-s	reif	Reif
1	hormónarnir	nkfn	no-kk-ft-nf	hormónarnir	hormónarnur
1	skopið	sþghen	so-lhþt-gm-hk-et-nf	skopa	skúpa
1	neiðin	nveng	no-kvk-et-nf-gr	neyð	neið
1	a	x	ób-x	að	a
1	virkileg	x	ób-x	virkilegur	virkileg
1	lesara	x	ób-x	lesari	lesara
1	einungir	x	ób-x	einungis	einungir
1	leikstjóran	x	ób-x	leikstjóri	leikstjóran
1	páskaungum	nkfþ	no-kk-ft-þgf	páskaungi	páskaungur
1	Morgunfrúr	nvfo-s	no-kvk-ft-þf-s	morgunfrú	Morgunfrú
1	ljósari	lhenvm	lo-hk-et-nf-vb-mst	ljós	ljósari
1	félags-	kt	ób-sk	félagsþjónusta	félags-
1	Heilsugæslunnar	nveegs	no-kvk-et-ef-gr-s	Heilsugæsla	Heilsugæslan
1	námskeiði	x	ób-x	námskeið	námskeiði
1	Læknablaðsins	nheegs	no-hk-et-ef-gr-s	Læknablað	Læknablaðið
1	Læknablaðið	nhengs	no-hk-et-nf-gr-s	Læknablað	Læknablaðið
1	rannsókarinnar	x	ób-x	rannsókn	rannsókarinnar
1	sérfræðinur	x	ób-x	sérfræðingur	sérfræðinur
1	ávinningu	nken	no-kk-et-nf	ávinningur	ávinningu
1	Hringsins	nkeogs	no-kk-et-þf-gr-s	hringur	Hringsins
1	aukingar	x	ób-x	aukning	aukingar
1	skyn-	kt	ób-sk	skynhömlun	skyn-
1	leikskólabarni	x	ób-x	leikskólabarn	leikskólabarni
1	hegðunar-	kt	ób-sk	hegðunarröskun	hegðunar-
1	tilfinninga-	kt	ób-sk	tilfinningaröskun	tilfinninga-
1	hreyfi-	kt	ób-sk	hreyfihömlun	hreyfi-
1	skynhamlana	nvfe	no-kvk-ft-ef	skynhamall	skynhömlun
1	evrópusamtaka	nhfe	no-hk-ft-ef	Evrópusamtök	evrópusamtök
1	fjölbeyttri	lveþsf	lo-kvk-et-þgf-sb-fst	fjölbreyttur	fjölbeyttur
1	Foreldra-	kt	ób-sk	foreldrafélag	Foreldra-
1	Félags-	kt	ób-sk	félagsþjónusta	Félags-
1	greiningar-	kt	ób-sk	greiningarlisti	greiningar-
1	Heilsugæslan	nvengs	no-kvk-et-nf-gr-s	heilsugæsla	Heilsugæslan
1	barna-	kt	ób-sk	barnageðlæknir	barna-
1	Fræðsluskrifstofa	nven-s	no-kvk-et-nf-s	fræðsluskrifstofa	Fræðsluskrifstofa
1	EISAS	n----s	no-x-s	EISAS	Eisas
1	komandi	x	ób-x	næstkomandi	komandi
1	kennslu-	kt	ób-sk	kennsluleið	kennslu-
1	skóla-	kt	ób-sk	skólamál	skóla-
1	leik-	kt	ób-sk	leikskólaaldur	leik-
1	einverfurófi	nheþ	no-hk-et-þgf	einhverfuróf	einverfuróf
1	mál-	kt	ób-sk	málþroski	mál-
1	haldið	x	ób-x	halda	haldið
1	Aðlasteins	nkeo-s	no-kk-et-þf-s	Aðalsteinn	Aðlasteins
1	Byggðastofnun	x	ób-x	byggðarstofnun	Byggðastofnun
1	bæjinn	nkeog	no-kk-et-þf-gr	bær	bæjur
1	erpur	nken	no-kk-et-nf	Erpur	erpur
1	gæjjinn	nkeng	no-kk-et-nf-gr	gæi	gæjji
1	heimi	x	ób-x	Heimir	heimi
1	hefuru	x	ób-x	hafa	hefuru
1	vil	x	ób-x	vilja	vil
1	segiru	x	ób-x	segja	segiru
1	blalbal	x	ób-x	bla	blalbal
1	kyssstu	sbg2en	so-bh-gm-2p-et-nt	kyssa	kysssa
1	helgi	nken	no-kk-et-nf	Helgi	helgi
1	björnsson	nken	no-kk-et-nf	Björnsson	björnsson
1	vilborgu	nveþ	no-kvk-et-þgf	Vilborg	vilborga
1	þingvöllum	nkeþ	no-kk-et-þgf	þingvöllur	þingvöllumur
1	nííííðþröngu	lvfþvf	lo-kvk-ft-þgf-vb-fst	níðþröngur	nííííðþröngur
1	gamaaaan	aa	ao	gaman	gamaaaan
1	arnóri	nken	no-kk-et-nf	Arnór	arnóri
1	gunninn	nkeng	no-kk-et-nf-gr	Gunni	gunn
1	greinlega	aa	ao	greinilega	greinlega
1	einhverr	x	ób-x	einhver	einhverr
1	nonna	nkeo	no-kk-et-þf	Nonni	nonni
1	nýdönsk	nkeo	no-kk-et-þf	nýdönsk	nýdönskur
1	rögnu	nveo	no-kvk-et-þf	Ragna	ragna
1	becks	n----s	no-x-s	becks	Becks
1	englandi	nheþ	no-hk-et-þgf	England	england
1	kósý	lheoof	lo-ób	kósýr	kósý
1	leisíbojnum	nkeþg	no-kk-et-þgf-gr	leisíboj	leisíbojur
1	kópavogi	nkeþ	no-kk-et-þgf	Kópavogur	kópavogur
1	rauðarárstíg	nkeþ	no-kk-et-þgf	Rauðarárstígur	rauðarárstígur
1	hverfisgötuna	nveog	no-kvk-et-þf-gr	Hverfisgata	hverfisgata
1	bloggggggrillið	nheng	no-hk-et-nf-gr	blogggrill	bloggggggrill
1	viðey	nven	no-kvk-et-nf	Viðey	viðey
1	maaaaaaaargar	lvfnsf	lo-kvk-ft-nf-sb-fst	margur	maaaaaaaargur
1	hliðaaaar	nvfn	no-kvk-ft-nf	hlið	hliðaaa
1	möööööögnuðum	lkeþsf	lo-kk-et-þgf-sb-fst	magnaður	möööööagnaður
1	manniiiiiii	nkeþ	no-kk-et-þgf	maður	manniiiiiiur
1	seeem	x	ób-x	sem	seeem
1	hvaað	fshen	fn-s-hk-et-nf	hvað	hvaer
1	eeeeer	x	ób-x	vera	eeeeer
1	grátaaaaaaaaa	x	ób-x	gráta	grátaaaaaaaaa
1	grátttaaaaaaaaaaaaaaa	sng	so-nh-gm	gráta	grátttaaaaaaaaaaaaaaa
1	togga	nkeþ	no-kk-et-þgf	Toggi	toggi
1	tíkarson	nken	no-kk-et-nf	Tíkarson	tíkarson
1	laugaveginn	nkeog	no-kk-et-þf-gr	Laugavegur	laugavegur
1	arnóri	nkeþ	no-kk-et-þgf	Arnór	arnórir
1	laug	ks	ób-sk	laug.	laug
1	bjóðenni	x	ób-x	bjóða	bjóðenni
1	nítjánhundruðogeitthvað	foheo	fn-ó-hk-et-þf	nítjánhundruðogeitthvað	nítjánhundruðogeinhver
1	miklubrautinni	nveþg	no-kvk-et-þgf-gr	miklabraut	miklubraut
1	geir	x	ób-x	Geir	geir
1	heheh	au	ób-uh	hehe	heheh
1	europe	n----s	no-x-s	europe	Europe
1	hehehehehe	au	ób-uh	hehe	hehehehehe
1	japan	nhen	no-hk-et-nf	Japan	japan
1	nba	n----s	no-x-s	NBA	Nba
1	hm	ks	ób-sk	HM	hm
1	japan	nheo	no-hk-et-þf	Japan	japan
1	japan	nheþ	no-hk-et-þgf	Japan	japan
1	england	nheo	no-hk-et-þf	England	england
1	muniði	x	ób-x	muna	muniði
1	ren	n----s	no-x-s	ren	Ren
1	tölvu-	kt	ób-sk	tölvunotkun	tölvu-
1	þeim	fpkeþ	fn-p-3p-kk-et-þgf	það	þeim
1	Brookings-stofnunina	nveogs	no-kvk-et-þf-gr-s	Brookingsstofnun	Brookings-stofnun
1	O'Hanlon	n----s	no-x-s	Hanlon	O'Hanlon
1	Johns	n----s	no-x-s	John	Johns
1	Hopkins-háskóla	nkeo-s	no-kk-et-þf-s	Hopkinsháskóli	Hopkins-háskóli
1	Kompássþáttur	nken-s	no-kk-et-nf-s	kompássþáttur	Kompássþáttur
1	Kompássþættinum	nkeþgs	no-kk-et-þgf-gr-s	kompássþáttur	Kompássþáttur
1	utanyfir	aa	ao	utanyfa	utanyfir
1	prostitute	n----s	no-x-s	prostitute	Prostitute
1	kósý	lhenof	lo-ób	kósýr	kósý
1	borðtennis-	kt	ób-sk	borðtennisfélagi	borðtennis-
1	kynlífs-	kt	ób-sk	kynlífsheilbrigði	kynlífs-
1	tekið	x	ób-x	taka	tekið
1	aura	nkfo	no-kk-ft-þf	eyrir	aur
1	borgið	sþghen	so-lhþt-gm-hk-et-nf	bjarga	borga
1	Margir	x	ób-x	margur	Margir
1	meðalmenna	x	ób-x	meðalmaður	meðalmenna
1	kvikmynda-	kt	ób-sk	kvikmyndastjarna	kvikmynda-
1	veriði	sbg2fn	so-bh-gm-2p-ft-nt	vera	veriði
1	óþvolandi	x	ób-x	óþolandi	óþvolandi
1	þróunnar	x	ób-x	þróunn	þróunnar
1	vísindamanna	x	ób-x	vísindamaður	vísindamanna
1	heilbrigðis-	kt	ób-sk	heilbrigðisvísindi	heilbrigðis-
1	vísinda-	kt	ób-sk	vísindaráð	vísinda-
1	æsku-	kt	ób-sk	æska	æsku-
1	mann	x	ób-x	maður	mann
1	Kritsinn	x	ób-x	Kristinn	Kritsinn
1	Brúðubílnum	nkeþgs	no-kk-et-þgf-gr-s	brúðubíll	Brúðubíll
1	söknum	svg3fn	so-vh-gm-3p-ft-nt	sakna	söknum
1	föstu	lkfþve	lo-kk-ft-þgf-vb-est	fastur	för
1	1910	ta	to	1910.	1910
1	skyldu	sng	so-nh-gm	skulu	skyldu
1	munum	sfg1fn	so-fh-gm-1p-ft-nt	muna	munu
1	Kussungstaðasystur	nvfn-s	no-kvk-ft-nf-s	Kussungsstaðasystir	Kussungstaðasystur
1	verri	lveovm	lo-kvk-et-þf-vb-mst	verri	slæmur
1	æfi	nveo	no-kvk-et-þf	ævi	æfi
1	Kussungstaðasystra	nvfe-s	no-kvk-ft-ef-s	Kussungsstaðasystir	Kussungstaðasystur
1	feiknin	nveog	no-kvk-et-þf-gr	feikn	feiknin
1	McBain-bók	nven-s	no-kvk-et-nf-s	McBain-bók	Mcbain-bók
1	Hahahaha	au	ób-uh	ha	hahahaha
1	hlú	x	ób-x	hlúa	hlú
1	værar	aa	ao	vær	værar
1	griðaheitum	nhfþ	no-hk-ft-þgf	griðaheiti	griðaheit
1	Dalina	nkfogs	no-kk-ft-þf-gr-s	dalur	Dalur
1	friðar-	kt	ób-sk	friðarboðskapur	friðar-
1	Staðarhólsættinni	nveþgs	no-kvk-et-þgf-gr-s	Staðarhólsættin	Staðarhólsætt
1	nýorðnu	lkfesf	lo-kk-ft-ef-sb-fst	nýorðinn	nýorðnu
1	Sturlungar	nkfn-s	no-kk-ft-nf-s	Sturlungur	Sturlungar
1	austurfjöllum	nhfþ	no-hk-ft-þgf	austurfjöll	austurfjall
1	Ökrum	nkfþ-s	no-kk-ft-þgf-s	Akur	Akrar
1	knattleikum	nkfþ	no-kk-ft-þgf	knattleikur	knattleiki
1	beisk	lkeosf	lo-kk-et-þf-sb-fst	beiskur	beisk
1	snjallasta	lvenve	lo-kvk-et-nf-vb-est	snjallur	snjall
1	hand-	kt	ób-sk	handfesta	hand-
1	Braskarans	nkee-s	no-kk-et-ef-s	Braskarinn	Braskarans
1	Forðist	sbm2fn	so-bh-mm-2p-ft-nt	forða	forðast
1	Englendinga	nkfo-s	no-kk-ft-þf-s	englendingur	Englendingur
1	Víglundss	n----s	no-x-s	Víglundss.	Víglundss
1	Helgas	n----s	no-x-s	Helgas.	Helgas
1	D764	ta	to	d764	D764
1	G103	x	ób-x	g103	G103
1	D109864	ta	to	d109864	D109864
1	K2	x	ób-x	k2	K2
1	K8	x	ób-x	k8	K8
1	KDG10	x	ób-x	kdg10	KDG10
1	K5	x	ób-x	k5	K5
1	ódýrara	lvenvm	lo-kvk-et-nf-vb-mst	ódýr	ódýrara
1	sjálfsagreiðslu	nveþ	no-kvk-et-þgf	sjálfsafgreiðsla	sjálfsagreiðsla
1	Esso	n-ee-s	no-x-s	ESSO	Esso
1	norðar	aam	ao-mst	norðar	norður
1	DGxx	x	ób-x	dgxx	DGxx
1	Kx	x	ób-x	kx	Kx
1	K643	x	ób-x	k643	K643
1	KG986	x	ób-x	kg986	KG986
1	Guðmannss	n----s	no-x-s	Guðmannss.	Guðmannss
1	Friðr	n----s	no-x-s	Friðr.	Friðr
1	Angantýss	n----s	no-x-s	Angantýss.	Angantýss
1	Eyjólfss	n----s	no-x-s	Eyjólfss.	Eyjólfss
1	Skúlad	n----s	no-x-s	Skúlad.	Skúlad
1	Þórðars	n----s	no-x-s	Þórðars.	Þórðars
1	Örlygss	n----s	no-x-s	Örlygss.	Örlygss
1	Steingr	n----s	no-x-s	Steingr.	Steingr
1	Sverriss	n----s	no-x-s	Sverriss.	Sverriss
1	Hallgrímss	n----s	no-x-s	Hallgrímss.	Hallgrímss
1	Hermannss	n----s	no-x-s	Hermannss.	Hermannss
1	Kristóf	n----s	no-x-s	Kristóf.	Kristóf
1	Ferdinandss	n----s	no-x-s	Ferdinandss.	Ferdinandss
1	Miðnætursveitakeppni	nveo-s	no-kvk-et-þf-s	miðnætursveitakeppni	Miðnætursveitakeppni
1	Alheimstvímenninginn	nkeogs	no-kk-et-þf-gr-s	alheimstvímenningur	Alheimstvímenningur
1	Ásmundss	n----s	no-x-s	Ásmundss.	Ásmundss
1	Vestfj	n----s	no-x-s	Vestfj.	Vestfj
1	Félagsþjónustan	nvengs	no-kvk-et-nf-gr-s	félagsþjónusta	Félagsþjónustan
1	Sveins	n----s	no-x-s	Sveins.	Sveins
1	Samskipti	nhen-s	no-hk-et-nf-s	samskipti	Samskipti
1	Suðurnesjasv	n----s	no-x-s	Suðurnesjav.	Suðurnesjasv
1	Gunnlss	n----s	no-x-s	Gunnlss.	Gunnlss
1	Gíslas	n----s	no-x-s	Gíslas.	Gíslas
1	Berthels	n----s	no-x-s	Berthels.	Berthels
1	Péturss	n----s	no-x-s	Péturss.	Péturss
1	Kristinsd	n----s	no-x-s	Kristinsd.	Kristinsd
1	Ól	n----s	no-x-s	Ól.	Ól
1	Bjarnas	n----s	no-x-s	Bjarnas.	Bjarnas
1	Þórarinss	n----s	no-x-s	Þórarinss.	Þórarinss
1	Bridssambandsins	nheegs	no-hk-et-ef-gr-s	bridssamband	Bridssamband
1	Fasteignablaðið	nhengs	no-hk-et-nf-gr-s	fasteignablað	Fasteignablaðið
1	Gólfþjónustunnar	nveegs	no-kvk-et-ef-gr-s	gólfþjónusta	Gólfþjónustan
1	Gólfþjónustunni	nveþgs	no-kvk-et-þgf-gr-s	gólfþjónusta	Gólfþjónustan
1	Gólfþjónustu	nveþ-s	no-kvk-et-þgf-s	gólfþjónusta	Gólfþjónusta
1	hálku-	kt	ób-sk	hálkuvörn	hálku-
1	Hraunborgum	nvfþ-s	no-kvk-ft-þgf-s	Hraunborg	Hraunborgir
1	ha	ks	ób-sk	ha.	ha
1	ha	x	ób-x	HA	ha
1	SPRON	n-en-s	no-x-s	SPRON	Spron
1	risa-blokkarinnar	nveeg	no-kvk-et-ef-gr	risablokk	risa-blokk
1	Sjallans	nkeegs	no-kk-et-ef-gr-s	Sjalli	Sjallinn
1	Kaffi	nhee-s	no-hk-et-ef-s	kaffi	Kaffi
1	risa-blokkar	nvee	no-kvk-et-ef	risablokk	risa-blokk
1	L-laga	lvfoof	lo-ób	l-laga	L-laga
1	Hagar	nkfn-s	no-kk-ft-nf-s	Hagi	Hagar
1	gagnrýnt	x	ób-x	gagnrýna	gagnrýnt
1	Morgunvaktinni	nveþgs	no-kvk-et-þgf-gr-s	Morgunvakt	Morgunvaktin
1	Ríkislögreglustjóraembættið	nhengs	no-hk-et-nf-gr-s	ríkislögreglustjóraembætti	Ríkislögreglustjóraembættið
1	raksakendur	x	ób-x	ransakandi	raksakendur
1	lögreglu-	kt	ób-sk	lögregluvald	lögreglu-
1	Héraðsdómur	nken-s	no-kk-et-nf-s	héraðsdómur	Héraðsdómur
1	ná	x	ób-x	né	ná
1	fjölmiðlalög	nhfo	no-hk-ft-þf	fjölmiðlalög	fjölmiðlalag
1	Petersen	nkeo-s	no-kk-et-þf-s	Petersen	Petersenur
1	Fjórðungssjúkrahúsið	nhengs	no-hk-et-nf-gr-s	fjórðungssjúkrahús	Fjórðungssjúkrahús
1	slysa-	kt	ób-sk	slysalæknir	slysa-
1	Líknarsjóðinn	nkeogs	no-kk-et-þf-gr-s	líknarsjóður	Líknarsjóður
1	Brunavarðafélags	nhee-s	no-hk-et-ef-s	brunavarðafélag	Brunavarðafélag
1	Hjálparsíma	nkeo-s	no-kk-et-þf-s	hjálparsími	Hjálparsími
1	Sjóvá	n-ee-s	no-x-s	sjóvá	Sjóvá
1	almenning	x	ób-x	almenningur	almenning
1	Faxaflóahafnir	nvfo-s	no-kvk-ft-þf-s	Faxaflóahöfn	Faxaflóahafnir
1	Faxaflóahöfnum	nvfþ-s	no-kvk-ft-þgf-s	Faxaflóahöfn	Faxaflóahafnir
1	Eldvarnaátak	nhen-s	no-hk-et-nf-s	eldvarnaátak	Eldvarnaátak
1	áðurnefnum	nhfþ	no-hk-ft-þgf	áðurnefndur	áðurnefni
1	eld-	kt	ób-sk	eldhólfun	eld-
1	reyk-	kt	ób-sk	reyklaus	reyk-
1	Brunamálastofnun	nveþ-s	no-kvk-et-þgf-s	brunamálastofnun	Brunamálastofnun
1	Launanefndar	nvee-s	no-kvk-et-ef-s	launanefnd	Launanefnd
1	Líknarsjóðs	nkee-s	no-kk-et-ef-s	líknarsjóður	Líknarsjóður
1	Brunavarðafélagsins	nheegs	no-hk-et-ef-gr-s	brunavarðafélag	Brunavarðafélagið
1	sjúkra-	nvfn	no-kvk-ft-nf	sjúkrabifreið	sjúkra-
1	slökkvi-	kt	ób-sk	slökkvibifreið	slökkvi-
1	sjúkra-	kt	ób-sk	sjúkrabifreið	sjúkra-
1	1991-skýrslunnar	nvee	no-kvk-et-ef	1991-skýrslunnar	1991-skýrslunn
1	DG-XIV	x	ób-x	dg-xiv	DG-XIV
1	Evrópuþingið	nheogs	no-hk-et-þf-gr-s	Evrópuþing	Evrópuþingið
1	14.	ta	to	14	14.
1	undanþáguákvæðum.	nhfþ	no-hk-ft-þgf	undanþáguákvæði	undanþáguákvæðum.
1	X.I.	ta	to	x.i.	X.I.
1	ígrunduðum	lhfþsf	lo-hk-ft-þgf-sb-fst	ígrunda	ígrundaður
1	Mathiesen	nkeþ-s	no-kk-et-þgf-s	Mathiesen	Mathiesenur
1	Aldarhvörf	nhfn	no-hk-ft-nf	aldarhvörf	aldarhvarf
1	svæðisbundum	lvfþsf	lo-kvk-ft-þgf-sb-fst	svæðisbuninn	svæðisbundur
1	fiskveiðistjórnunarlaga	nhfe	no-hk-ft-ef	fiskveiðistjórnunarlag	fiskveiðistjórnunarlög
1	eftirlits-	kt	ób-sk	eftirlitsaðili	eftirlits-
1	vinnuregur	x	ób-x	vinnurega	vinnuregur
1	sigursællri	lveþsf	lo-kvk-et-þgf-sb-fst	sigursæll	sigursællur
1	OJJJJJJ	au	ób-uh	ojjj	ojjjjjj
1	beinskeittur	lkensf	lo-kk-et-nf-sb-fst	beinskeyttur	beinskeittur
1	N.k	ks	ób-sk	n.k	N.k
1	hehehe	au	ób-uh	hehe	hehehe
1	hvað	x	ób-x	hver	hvað
1	framgarðinu	x	ób-x	framgarður	framgarðinu
1	alvörun	x	ób-x	alvara	alvörun
1	stofugluggan	x	ób-x	stofugluggi	stofugluggan
1	BOMMM	nheo	no-hk-et-þf	bomm	bommm
1	heilaskurðlækningar	nvfn	no-kvk-ft-nf	heilaskurðlækning	heilaskurðlækningar
1	-mér	fp1eþ	fn-p-1p-et-þgf	ég	-ég
1	spurnigunni	x	ób-x	spurniga	spurnigunni
1	annað	foheþ	fn-ó-hk-et-þgf	annar	annað
1	boð-	kt	ób-sk	boðregla	boð-
1	skipulags-	kt	ób-sk	skipulagsregla	skipulags-
1	málaflokk	x	ób-x	málaflokkur	málaflokk
1	hugsanlegt	x	ób-x	hugsanlegur	hugsanlegt
1	neytt	sþghen	so-lhþt-gm-hk-et-nf	neyða	neyta
1	hegningar-	kt	ób-sk	hegningarlög	hegningar-
1	bikinitopp	nkeo	no-kk-et-þf	bikinítoppur	bikinitoppur
1	Kristnihátíð	nveþ-s	no-kvk-et-þgf-s	kristnihátíð	Kristnihátíð
1	Þingvöllum	nkfþ-s	no-kk-ft-þgf-s	Þingvöllur	Þingvellir
1	kristnihátíðarsjóðar	x	ób-x	kristnihátíðarsjóður	kristnihátíðarsjóðar
1	barna-	kt	ób-sk	barnaklám	barna-
1	H	x	ób-x	h	H
1	lengra	x	ób-x	langt	lengra
1	Vegagerðina	nveogs	no-kvk-et-þf-gr-s	Vegagerð	Vegagerðin
1	ógilt	x	ób-x	ógilda	ógilt
1	aldursviðmiðunum	nhfþ	no-hk-ft-þgf	aldursviðmið	aldursviðmiðun
1	barna-	kt	ób-sk	barnaréttur	barna-
1	félaga-	kt	ób-sk	félagasamtök	félaga-
1	CJ-FA	x	ób-x	cj-fa	CJ-FA
1	Dómarafélagi	nheþ-s	no-hk-et-þgf-s	dómarafélag	Dómarafélag
1	Fjölskylduráði	nheþ-s	no-hk-et-þgf-s	fjölskylduráð	Fjölskylduráð
1	Fjölskylduþjónustu	nveþ-s	no-kvk-et-þgf-s	fjölskylduþjónusta	Fjölskylduþjónusta
1	Lögmannafélagi	nheþ-s	no-hk-et-þgf-s	lögmannafélag	Lögmannafélag
1	forsjárforeldra	nkfe	no-kk-ft-ef	forsjárforeldri	forsjárforeldrar
1	meðlags-	kt	ób-sk	meðlagsmál	meðlags-
1	umgengnis-	kt	ób-sk	umgengnismál	umgengnis-
1	lýðræðis-	kt	ób-sk	lýðræðismál	lýðræðis-
1	ÍRAK	nheþ-s	no-hk-et-þgf-s	Írak	ÍRAK
1	tvö	x	ób-x	tveir	tvö
1	ÍRAK	nhen-s	no-hk-et-nf-s	Írak	ÍRAK
1	o.fl	ks	ób-sk	o.fl.	o.fl
1	notkunn	x	ób-x	notkun	notkunn
1	aflsláttur	nken	no-kk-et-nf	afsláttur	aflsláttur
1	Ehf.	ks	ób-sk	ehf.	Ehf.
1	CORELLE	n----s	no-x-s	CORELLE	Corelle
1	sér-salur	nken	no-kk-et-nf	sérsalur	sér-salur
1	sselst	x	ób-x	selja	sselst
1	breiðholt	nhen	no-hk-et-nf	Breiðholt	breiðholt
1	hafnarfirði	nkeþ	no-kk-et-þgf	Hafnarfjörður	hafnarfjörður
1	dekkjahreinsi	nkeþ	no-kk-et-þgf	dekkjahreinsir	dekkjahreins
1	Kvöld-	kt	ób-sk	kvöldþjónusta	Kvöld-
1	bankastjori	x	ób-x	bankastjóri	bankastjori
1	fyrirtækja-	kt	ób-sk	fyrirtækjaþrif	fyrirtækja-
1	flutnings-	kt	ób-sk	flutningsþrif	flutnings-
1	Þak-	kt	ób-sk	þakklæðning	Þak-
